Date,Open,High,Low,Close,Adj Close,Volume,Day
10/20/2016,117.730003,117.970001,117.029999,117.709999,111.87545,18132200,776
10/21/2016,117.800003,118.220001,117.410004,118.150002,112.293648,15707800,777
10/24/2016,118.910004,119.650002,118.889999,119.57,113.643234,19143000,778
10/25/2016,119.639999,119.660004,119.010002,119.190002,113.282089,20341800,779
10/26/2016,118.419998,119.029999,118.029999,118.379997,112.51223,20463700,780
10/27/2016,118.889999,118.989998,117.669998,117.839996,111.999001,19099800,781
10/28/2016,117.5,118.110001,116.739998,117.099998,111.295692,35369300,782
10/31/2016,117.529999,117.529999,116.93,116.989998,111.191124,18749400,783
11/1/2016,117.190002,117.209999,115.099998,116.110001,110.354736,23498700,784
11/2/2016,116.029999,116.300003,114.889999,115.18,109.470848,26960100,785
11/3/2016,114.989998,115.370003,113.919998,114.050003,108.396866,36205200,786
11/4/2016,113.769997,114.540001,113.449997,113.650002,108.016693,26997500,787
11/7/2016,115.489998,116.470001,115.300003,116.349998,110.582855,26591200,788
11/8/2016,116.230003,117.639999,115.959999,117.110001,111.305168,20777900,789
11/9/2016,115.739998,117.839996,115.599998,117.650002,111.818398,70234400,790
11/10/2016,118.220001,118.379997,114.199997,115.75,110.012604,72825400,791
11/11/2016,115.25,116.050003,114.839996,115.800003,110.06012,41115200,792
11/14/2016,115.830002,115.940002,114.029999,114.629997,108.948105,35906000,793
11/15/2016,115.5,116.620003,115.330002,116.220001,110.459312,31796600,794
11/16/2016,115.669998,116.989998,115.669998,116.910004,111.115089,16538100,795
11/17/2016,116.849998,117.779999,116.610001,117.760002,111.922974,20598600,796
11/18/2016,117.900002,118.099998,117.209999,117.32,111.504776,16428700,797
11/21/2016,117.610001,118.650002,117.57,118.540001,112.664307,20268500,798
11/22/2016,119.010002,119.190002,118.610001,118.900002,113.00647,18850600,799
11/23/2016,118.510002,118.639999,117.900002,118.419998,112.550247,22926000,800
11/25/2016,118.559998,118.849998,118.419998,118.800003,112.911392,7162800,801
11/28/2016,118.650002,119.080002,118.410004,118.529999,112.654785,13479000,802
11/29/2016,118.639999,119.510002,118.300003,118.940002,113.044479,18553000,803
11/30/2016,119.089996,119.129997,117.459999,117.5,111.675858,30405300,804
12/1/2016,117.459999,117.470001,115.290001,115.470001,109.746468,39796600,805
12/2/2016,115.540001,116.160004,115.220001,115.699997,109.96508,32876800,806
12/5/2016,116.300003,117.059998,115.769997,116.599998,110.820457,21419700,807
12/6/2016,116.93,117.080002,116.389999,116.879997,111.086563,27293300,808
12/7/2016,116.639999,118.510002,116.290001,118.360001,112.49324,26622400,809
12/8/2016,118.410004,118.870003,118.18,118.57,112.692818,18578400,810
12/9/2016,119.010002,119.540001,119,119.5,113.576706,21863100,811
12/12/2016,118.970001,119.209999,118.470001,118.959999,113.063484,23259300,812
12/13/2016,119.32,121.110001,119.32,120.459999,114.489113,54477900,813
12/14/2016,120.610001,121,119.860001,120.209999,114.251526,28746000,814
12/15/2016,120.370003,121.110001,120.080002,120.400002,114.432114,22762300,815
12/16/2016,120.339996,120.580002,119.360001,119.599998,114.007919,26283900,816
12/19/2016,119.720001,120.830002,119.550003,120.089996,114.475014,21138700,817
12/20/2016,120.470001,120.769997,120.330002,120.550003,114.913521,11461800,818
12/21/2016,120.599998,120.68,120.190002,120.459999,114.827682,7079300,819
12/22/2016,120.470001,120.5,119.650002,120.120003,114.503616,16645000,820
12/23/2016,119.919998,120.25,119.809998,120.199997,114.579857,9007500,821
12/27/2016,120.459999,121.519997,120.410004,120.82,115.170876,16110600,822
12/28/2016,121.080002,121.190002,119.800003,119.879997,114.274818,17975200,823
12/29/2016,119.849998,120.129997,119.330002,119.709999,114.112793,13267500,824
12/30/2016,119.940002,119.949997,118.139999,118.480003,112.940292,41749000,825
1/3/2017,119.269997,119.989998,118.889999,119.540001,113.950706,22307600,826
1/4/2017,119.669998,120.410004,119.660004,120.190002,114.570343,19749100,827
1/5/2017,120.099998,120.949997,120.099998,120.870003,115.218544,20644300,828
1/6/2017,121,122.25,120.690002,121.93,116.228996,24074300,829
1/9/2017,122.029999,122.550003,121.949997,122.330002,116.610275,18909200,830
1/10/2017,122.379997,122.970001,122.099998,122.599998,116.867638,16176600,831
1/11/2017,122.650002,122.93,122.019997,122.93,117.18222,20686000,832
1/12/2017,122.489998,122.82,121.599998,122.739998,117.001106,19622500,833
1/13/2017,122.800003,123.370003,122.800003,123.160004,117.401474,16930800,834
1/17/2017,122.839996,123.029999,122.43,122.790001,117.048767,14538500,835
1/18/2017,122.970001,123.160004,122.660004,123.040001,117.287071,12499700,836
1/19/2017,123.220001,123.650002,122.720001,122.980003,117.229889,12710700,837
1/20/2017,123.519997,123.830002,122.919998,123.25,117.487267,22091000,838
1/23/2017,123.169998,123.529999,122.57,123.349998,117.582558,17434200,839
1/24/2017,123.589996,124.370003,123.379997,124.18,118.373772,17640900,840
1/25/2017,124.959999,125.459999,124.849998,125.43,119.565338,15036200,841
1/26/2017,125.599998,125.82,125.339996,125.559998,119.689255,16052200,842
1/27/2017,125.830002,125.919998,125.389999,125.800003,119.918045,15053000,843
1/30/2017,125.379997,125.379997,124.129997,124.82,118.983826,25006700,844
1/31/2017,124.379997,124.599998,123.849998,124.57,118.74556,19091100,845
2/1/2017,125.449997,125.68,124.860001,125.43,119.565338,22861900,846
2/2/2017,125.209999,125.699997,124.860001,125.32,119.460472,15101400,847
2/3/2017,125.449997,125.809998,125.330002,125.68,119.803658,16957200,848
2/6/2017,125.470001,125.849998,125.349998,125.830002,119.94664,11630100,849
2/7/2017,126.089996,126.550003,125.970001,126.290001,120.385117,17541100,850
2/8/2017,126.120003,126.68,125.879997,126.5,120.585312,12569100,851
2/9/2017,126.629997,127.239998,126.559998,126.959999,121.023773,17542700,852
2/10/2017,127.239998,127.559998,127.019997,127.379997,121.424156,13915700,853
2/13/2017,127.769997,128.259995,127.720001,128.100006,122.110489,19120200,854
2/14/2017,128.149994,128.539993,127.739998,128.529999,122.520378,16333500,855
2/15/2017,128.440002,129.350006,128.369995,129.289993,123.244827,17891400,856
2/16/2017,129.369995,129.630005,128.919998,129.25,123.206718,15098300,857
2/17/2017,129.059998,129.820007,129.039993,129.809998,123.740547,15563700,858
2/21/2017,130.059998,130.529999,129.990005,130.449997,124.350601,18479600,859
2/22/2017,130.330002,130.589996,130.110001,130.5,124.39827,12110900,860
2/23/2017,130.699997,130.699997,129.490005,130.009995,123.931168,17489000,861
